[2026-05-11 10:33:37] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:33:40] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:33:42] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:35:19] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-1' not found
[2026-05-11 10:37:46] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=complete_training role=welfare_user | Application 'APP-1' not found
[2026-05-11 10:37:50] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify role=welfare_user | Application 'APP-1' not found
[2026-05-11 11:06:30] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=generate_acc role=admin | Application 'APP-1' not found
[2026-05-11 11:06:57] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=generate_acc role=admin | Application 'APP-1' not found
[2026-05-11 11:08:48] [FAIL] app=APP-1 from=UNKNOWN to=temporary_pass_issued action=set_status role=admin | Application 'APP-1' not found
[2026-05-11 11:10:18] [FAIL] app=APP-1 from=UNKNOWN to=temporary_pass_issued action=set_status role=admin | Application 'APP-1' not found
[2026-05-11 11:15:59] [OK] app=APP-1 from=enrolment_done to=temporary_pass_issued action=set_status role=admin | Manually unblocking ACC generation for APP-1
[2026-05-11 11:27:50] [FAIL] app=APP-1 from=UNKNOWN to=acc_generated action=set_status role=pass_user | Application 'APP-1' not found
[2026-05-11 11:29:52] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-1' not found
[2026-05-11 11:29:57] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=complete_training role=welfare_admin | Application 'APP-1' not found
[2026-05-11 11:31:34] [FAIL] app=APP-1 from=UNKNOWN to=N/A action=generate_acc role=admin | Application 'APP-1' not found
[2026-05-11 11:32:44] [FAIL] app=APP-1 from=temporary_pass_issued to=N/A action=complete_training role=welfare_admin | Invalid action 'complete_training' for status 'temporary_pass_issued'. Valid actions: [request_extension, generate_acc, relieve_worker, block_worker]
[2026-05-11 11:33:12] [OK] app=APP-1 from=temporary_pass_issued to=acc_generated action=generate_acc role=admin | Generating ACC via scratch script
[2026-05-11 11:36:04] [FAIL] app=APP-1 from=acc_generated to=N/A action=generate_acc role=admin | Invalid action 'generate_acc' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:36:31] [FAIL] app=APP-1 from=acc_generated to=N/A action=generate_acc role=admin | Invalid action 'generate_acc' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:47:16] [FAIL] app=APP-1 from=acc_generated to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:47:21] [FAIL] app=APP-1 from=acc_generated to=N/A action=complete_training role=welfare_admin | Invalid action 'complete_training' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:48:29] [FAIL] app=APP-1 from=acc_generated to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:49:21] [FAIL] app=APP-1 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:50:00] [FAIL] app=APP-1 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:50:02] [FAIL] app=APP-1 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:50:06] [FAIL] app=APP-1 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:50:07] [FAIL] app=APP-1 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:50:09] [FAIL] app=APP-1 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:50:10] [FAIL] app=APP-1 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:50:11] [FAIL] app=APP-1 from=acc_generated to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-11 11:53:01] [OK] app=APP-1 from=acc_generated to=acc_generated action=set_status role=pass_user | ACC Generated for worker: telecon
[2026-05-11 11:54:10] [FAIL] app=APP-1 from=acc_generated to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-05-12 12:55:11] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-2' not found
[2026-05-12 12:55:16] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=complete_training role=welfare_admin | Application 'APP-2' not found
[2026-05-12 12:57:07] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=request_gatepass role=contractor | Application 'APP-2' not found
[2026-05-12 12:58:09] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-2' not found
[2026-05-12 12:58:57] [FAIL] app=APP-2 from=UNKNOWN to=acc_generated action=set_status role=pass_user | Application 'APP-2' not found
[2026-05-21 17:57:24] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=complete_training role=safety_user | Invalid action 'complete_training' for status 'enrolment_done'. Valid actions: []
[2026-05-21 17:58:56] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'enrolment_done'. Valid actions: []
[2026-05-21 17:59:02] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=complete_training role=welfare_admin | Invalid action 'complete_training' for status 'enrolment_done'. Valid actions: []
[2026-05-21 18:02:11] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'enrolment_done'. Valid actions: []
[2026-05-21 18:05:46] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'enrolment_done'. Valid actions: []
[2026-05-22 10:54:39] [OK] app=APP-00045 from=approved to=acc_generated action=set_status role=pass_user | ACC Generated for worker: test
[2026-05-23 14:20:56] [FAIL] app=APP-00045 from=enrolment_done to=N/A action=complete_training role=safety_user | Invalid action 'complete_training' for status 'enrolment_done'. Valid actions: []
